,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
5952,2024-02-12,07:00:00,2492.7,2497.7,2492.7,2497.5,1,1,1,78234,0.00023010546602020664,2024-02-12 07:00:00
5953,2024-02-12,07:15:00,2497.5,2497.9,2494.5,2496.7,1,1,1,78231,-3.8347234210401836e-05,2024-02-12 07:15:00
5954,2024-02-12,07:30:00,2496.6,2497.3,2493.5,2493.5,1,1,1,78218,-0.00016618834290942715,2024-02-12 07:30:00
5955,2024-02-12,07:45:00,2493.7,2495.4,2491.8,2491.8,1,1,1,78212,-7.671162824191603e-05,2024-02-12 07:45:00
5956,2024-02-12,08:00:00,2492.0,2494.5,2491.9,2493.8,1,1,1,78220,0.00010228086333964335,2024-02-12 08:00:00
5957,2024-02-12,08:15:00,2494.0,2496.1,2493.7,2495.4,1,1,1,78226,7.670378281242377e-05,2024-02-12 08:15:00
5958,2024-02-12,08:30:00,2495.5,2496.1,2487.9,2488.6,1,1,1,78199,-0.0003452133644639646,2024-02-12 08:30:00
5959,2024-02-12,08:45:00,2488.8,2491.6,2479.2,2491.5,1,1,1,78210,0.00014065686780339383,2024-02-12 08:45:00
5960,2024-02-12,09:00:00,2491.6,2495.6,2489.1,2493.9,1,1,1,78220,0.00012785271384795242,2024-02-12 09:00:00
5961,2024-02-12,09:15:00,2494.0,2499.3,2492.3,2498.9,1,1,1,78240,0.00025565639919382155,2024-02-12 09:15:00
5962,2024-02-12,09:30:00,2498.8,2501.9,2496.5,2500.3,1,1,1,78246,7.668417625789798e-05,2024-02-12 09:30:00
5963,2024-02-12,09:45:00,2500.3,2501.7,2499.2,2499.3,1,1,1,78242,-5.1122130781523445e-05,2024-02-12 09:45:00
5964,2024-02-12,10:00:00,2499.4,2499.6,2495.4,2496.1,1,1,1,78229,-0.00016616497663990721,2024-02-12 10:00:00
5965,2024-02-12,10:15:00,2495.9,2500.5,2493.8,2500.4,1,1,1,78246,0.00021728710742142148,2024-02-12 10:15:00
5966,2024-02-12,10:30:00,2500.5,2502.8,2493.1,2493.3,1,1,1,78218,-0.0003579098105493392,2024-02-12 10:30:00
5967,2024-02-12,10:45:00,2493.5,2493.6,2487.1,2487.6,1,1,1,78195,-0.00029409320409141244,2024-02-12 10:45:00
5968,2024-02-12,11:00:00,2487.5,2488.1,2483.7,2485.1,1,1,1,78185,-0.0001278935927053448,2024-02-12 11:00:00
5969,2024-02-12,11:15:00,2485.2,2486.6,2480.8,2483.6,1,1,1,78179,-7.674400760972651e-05,2024-02-12 11:15:00
5970,2024-02-12,11:30:00,2483.7,2484.0,2478.8,2480.0,1,1,1,78164,-0.00019188579016683283,2024-02-12 11:30:00
5971,2024-02-12,11:45:00,2479.6,2482.4,2470.6,2474.6,1,1,1,78142,-0.00028149911257761677,2024-02-12 11:45:00
5972,2024-02-12,12:00:00,2474.7,2481.8,2470.6,2481.8,1,1,1,78171,0.00037105039673891304,2024-02-12 12:00:00
5973,2024-02-12,12:15:00,2481.7,2482.5,2475.4,2480.1,1,1,1,78164,-8.955128416134136e-05,2024-02-12 12:15:00
5974,2024-02-12,12:30:00,2480.1,2482.5,2480.0,2481.7,1,1,1,78171,8.955128416129249e-05,2024-02-12 12:30:00
5975,2024-02-12,12:45:00,2481.5,2481.5,2477.2,2478.1,1,1,1,78156,-0.00019190542959351254,2024-02-12 12:45:00
5976,2024-02-12,13:00:00,2478.3,2481.1,2476.2,2477.6,1,1,1,78154,-2.5590173374830315e-05,2024-02-12 13:00:00
5977,2024-02-12,13:15:00,2477.6,2478.7,2474.5,2475.2,1,1,1,78145,-0.00011516388473304557,2024-02-12 13:15:00
5978,2024-02-12,13:30:00,2475.3,2478.9,2474.4,2477.8,1,1,1,78155,0.00012795905327758056,2024-02-12 13:30:00
5979,2024-02-12,13:45:00,2477.9,2485.6,2477.8,2485.6,1,1,1,78187,0.00040935897515522016,2024-02-12 13:45:00
5980,2024-02-12,14:00:00,2485.4,2486.1,2483.4,2483.5,1,1,1,78178,-0.00011511527528455311,2024-02-12 14:00:00
5981,2024-02-12,14:15:00,2483.6,2484.4,2481.6,2483.3,1,1,1,78177,-1.2791404176529002e-05,2024-02-12 14:15:00
5982,2024-02-12,14:30:00,2484.0,2484.4,2480.2,2480.8,1,1,1,78167,-0.00012792304167270492,2024-02-12 14:30:00
5983,2024-02-12,14:45:00,2480.7,2487.1,2478.8,2486.6,1,1,1,78191,0.00030698781243673,2024-02-12 14:45:00
5984,2024-02-12,15:00:00,2486.7,2486.7,2482.5,2483.6,1,1,1,78179,-0.00015348212602868917,2024-02-12 15:00:00
5985,2024-02-12,15:15:00,2483.4,2483.7,2480.8,2483.0,1,1,1,78176,-3.8374212533915206e-05,2024-02-12 15:15:00
5986,2024-02-12,15:30:00,2483.0,2485.4,2481.2,2485.2,1,1,1,78185,0.0001151182201435407,2024-02-12 15:30:00
5987,2024-02-12,15:45:00,2485.1,2486.2,2483.3,2484.7,1,1,1,78183,-2.5580681470744234e-05,2024-02-12 15:45:00
